WORD,TOTAL SCORE,UNIQUE SCORE
bloat,8149,8149
snaky,8148,8148
salad,10496,8148
broke,8145,8145
gripe,8145,8145
prude,8144,8144
scamp,8143,8143
sheen,11150,8141
beady,8139,8139
organ,8137,8137
groan,8137,8137
swell,9719,8133
sweet,11141,8132
spawn,8126,8126
audio,8125,8125
flask,8124,8124
ladle,9710,8124
aloud,8119,8119
ovine,8119,8119
stool,10034,8119
zebra,8117,8117
cover,8116,8116
quasi,8115,8115
grail,8115,8115
novel,8113,8113
gloat,8113,8113
rearm,10020,8110
seedy,11118,8109
squat,8108,8108
prove,8107,8107
harsh,8919,8105
flake,8100,8100
cairn,8099,8099
trite,9681,8096
piano,8095,8095
stock,8093,8093
slink,8092,8092
stink,8091,8091
cheap,8090,8090
peach,8090,8090
waver,8090,8090
equal,8085,8085
debit,8082,8082
graze,8081,8081
gazer,8081,8081
valor,8077,8077
shank,8076,8076
halve,8075,8075
biome,8074,8074
forge,8074,8074
board,8069,8069
broad,8069,8069
liken,8068,8068
plait,8066,8066
clerk,8065,8065
knelt,8061,8061
usual,9145,8056
tipsy,8051,8051
glide,8047,8047
exact,8045,8045
tweak,8043,8043
dross,11072,8039
bonus,8037,8037
began,8036,8036
berth,8033,8033
elfin,8033,8033
grime,8033,8033
demur,8032,8032
golem,8032,8032
piety,8027,8027
ghost,8026,8026
rainy,8021,8021
risky,8017,8017
odder,9196,8015
order,9925,8015
video,8015,8015
rodeo,9930,8015
erode,11024,8015
drive,8010,8010
diver,8010,8010
brass,11039,8006
scowl,8003,8003
chasm,8002,8002
frail,7997,7997
flair,7997,7997
float,7995,7995
aloft,7995,7995
mover,7995,7995
acrid,7995,7995
rapid,7986,7986
impel,7985,7985
adopt,7984,7984
rebar,9892,7982
macro,7980,7980
phone,7978,7978
twine,7976,7976
smirk,7974,7974
grass,11003,7970
hover,7966,7966
ethic,7964,7964
fiery,7958,7958
decoy,7955,7955
guile,7955,7955
flyer,7952,7952
sieve,10961,7952
roach,7951,7951
decry,7950,7950
eager,10955,7946
agree,10955,7946
dopey,7946,7946
shirk,7945,7945
virus,7942,7942
gavel,7940,7940
slimy,7940,7940
money,7938,7938
trawl,7934,7934
uncle,7933,7933
badge,7932,7932
coupe,7932,7932
class,10964,7931
field,7929,7929
fetid,7928,7928
maize,7927,7927
pasta,10269,7921
dairy,7917,7917
diary,7917,7917
today,7915,7915
tardy,7910,7910
denim,7910,7910
honey,7909,7909
globe,7904,7904
mayor,7902,7902
lapel,9484,7898
apple,8853,7898
endow,7895,7895
hazel,7892,7892
cagey,7886,7886
syrup,7873,7873
modal,7873,7873
wield,7873,7873
smith,7867,7867
dwelt,7866,7866
sally,9439,7853
cobra,7852,7852
tasty,9437,7852
brain,7850,7850
beach,7850,7850
baton,7848,7848
brisk,7846,7846
minus,7842,7842
scrum,7839,7839
oxide,7836,7836
grove,7831,7831
flute,7830,7830
whole,7829,7829
alley,9415,7829
clued,7829,7829
detox,7829,7829
threw,7823,7823
cross,10855,7822
bloke,7821,7821
chess,10853,7820
amiss,10849,7816
cargo,7816,7816
grain,7814,7814
along,7813,7813
tango,7812,7812
lumen,7812,7812
tonga,7812,7812
sheep,10820,7811
unmet,7811,7811
boney,7810,7810
segue,10819,7810
crush,7810,7810
guess,10843,7810
ebony,7810,7810
small,9396,7810
grant,7807,7807
